QUEST_20150317_000001	Please select the user requiring a quest update.	Pilih user untuk memodifikasi quest.
QUEST_20150317_000174	Welcome, welcome. {nl}Sir Uska is waiting at Klaipeda's central square. {nl}Oh, did you need anything else first?	Selamat Datang. Uska telah menunggu di Klaipeda middle square. {nl}Adakah sesuatu yang tidak kamu mengerti?
QUEST_20150317_000175	Do you want to head to Klaipeda's gate right away?	Apa kamu ingin segera ke Klaipeda sekarang juga?  {nl} Pikirkan baik-baik.
QUEST_20150317_000176	Temporary Operator	Temporary Operator
QUEST_20150317_000177	Please change this character's status.	Silahkan ganti status karakter.
QUEST_20150317_000178	NPC HIDE/UNHIDE Setting!	NPC HIDE/UNHIDE Setting!
QUEST_20150317_000179	Follower Algis	Follower Algis
QUEST_20150317_000180	The moment that the goddess foretold to the first Paladin has finally arrived. {nl}Come. Ask me anything.	Waktunya sudah tiba dimana Goddess meramalkan tentang Paladin pertama. {nl}Oke, silahkan bertanya padaku.
QUEST_20150317_000181	A long, long time ago, there were nomads who suffered from a cursed plague. {nl}The honorable first Paladin removed the curse with a Holy Relic.	Dahulu kala, ada pengembara, yang terkena kutukan dan penyakit, berjalan di sekitar. {nl}Sang Paladin pertama menyembuhkan kutukan mereka dengan Divine Water.
QUEST_20150317_000182	The Watchers are the descendants of those nomads. {nl}However, the Holy Relic was not meant for healing those people.	Scouts adalah keturunan para pengembara. {nl}Tapi, fungsi utama dari Divine Water bukanlah untuk menyembuhkan orang itu.
QUEST_20150317_000183	One day, the goddess requested the first Paladin to safeguard a divine revelation. {nl}The cursed nomads appeared just as the paladin mulled on how to keep it secret.	Suatu hari, Sang Goddess meminta kepada Paladin pertama untuk menjaga wahyu. {nl}Saat dia berpikir bagaimana cara menyembunyikannya, para pengembara yang terkutuk mulai muncul. {nl}
QUEST_20150317_000184	They and the first Paladin made three pledges before breaking the curse.	Sang Paladin pertama berjanji untuk menghentikan kutukan itu kepada ketiga pengembara. {nl}
QUEST_20150317_000185	To build the Tenet Church together. {nl}To conceal the Holy Relic within these grounds and worship its holiness. {nl}To gather and fight together when danger comes close to this location.	Untuk membangun Tenet Church bersama.  {nl}Untuk menyembunyikan Divine Water di tanah ini dan menyimpannya. {nl}Untuk bertempur bersama saat terjadi krisis di tanah ini. {nl}
QUEST_20150317_000186	All this, was to protect the revelation hidden in the sanctum of the Tenet Church.	Semua ini dilakukan untuk melindungi wahyu yang tersimpan di Tenet Cathedral Shrine.
QUEST_20150317_000187	The Holy Relic was originally made to protect the revelation as a bait. {nl}With it, we will lure the Demon Queen here and destroy her.	Divine Water diciptakan untuk melindungi wahyu. {nl}Dibuat untuk menarik perhatian Demon Queen dan menghancurkannya. {nl}
QUEST_20150317_000188	Anything can happen though. {nl}If the plan fails, then the final battle will likely happen in the Tenet Church.	Selalu ada kata jika. {nl}Jika strategi ini gagal, dan tidak dapat dihindari pertempuran final akan terjadi di Chapel.
QUEST_20150317_000189	Pawndel	Pawndel
QUEST_20150317_000190	What's up?	Ada apa?
QUEST_20150317_000191	Really?	Benarkah?
QUEST_20150317_000192	Pawnd	Pawnd
QUEST_20150317_000193	What happened?	Apa yang terjadi?
QUEST_20150317_000194	Gesti told us to protect this place.	Gesti bilang kepada kita untuk melindungi tempat ini.
QUEST_20150317_000195	So what do I do now?	Jadi apa yang harus kita lakukan sekarang?
QUEST_20150317_000196	Is this the right place?	Apakah ini tempat yang benar?
QUEST_20150317_000197	Explaining	Explaining
QUEST_20150317_000198	Shared the details of the revelation fragment found in the Crystal Mine.	Aku memberitahu bagian dari wahyu yang aku dapatkan di Crystal Mine.
QUEST_20150317_000199	I don't know how great you were in the past nor do I care. {nl}In here, you follow the Royal Army's orders, even you, Knights of Kaliss. {nl}In here, our word is law!	Aku tidak tahu seberapa hebat kamu di luar sana  {nl}tapi di sini, kamu harus mengikuti peraturan dari kerajaan.  {nl}Sama seperti Kalis Knights. Kami adalah hukum di sini
QUEST_20150317_000200	Graverobber Hubertas	Grave Thief Juvertas
QUEST_20150317_000201	Hanging around in these ruins is driving me insane. {nl}Why the heck did he come here anyway?	Sepertinya aku bisa gila jika tinggal di tempat yang hancur ini selama beberapa hari. {nl}Kenapa dia belum juga datang!
QUEST_20150317_000202	Graverobber Benjaminas	Thief Benjaminas
QUEST_20150317_000203	People call us grave robbers, but we prefer to call ourselves... archaeologists, {nl}scavenging and making use of all these items no one uses anymore. {nl}It sure beats leaving them to rot, right?	Kami ingin menyebut diri kami sebagai archeologists, tapi semua orang menyebut kami pencuri. {nl}Memanfaatkan object yang tidak dimiliki oleh seorangpun adalah sesuatu yang sangat berharga. {nl}Itu lebih baik daripada membiarkannya di sini hingga rusak dan membusuk.
QUEST_20150317_000204	A Citizen's Journal	A Citizen's Journal
QUEST_20150317_000205	It's been a year since the civil war broke out. Prices in town have risen dramatically. {nl}Commander Ruklys has sent for aid, to restore the town's dwindling supplies. {nl}It's been a while since we've had any good news. There's talk about King Kadumel going after the general. {nl}Mood's not going to change soon.	"Waktu telah berlalu 1 tahun setelah Perang sipil terjadi. harga barang di kota naik sungguh banyak. Jendral Ruklys mengatakan akan mendistribusikan persediaan yang dibutuhkan ke kota yang kekurangan. Tetapi Raja Kardumel yang mendengar berita baik ini, bermaksud mengincar Jendral Ruklys dan beredar kabar bahwa ia bermaksud pulang ke rumah, dan membuat keadaan dari orang-orang di sekitar menjadi tidak baik.
"
QUEST_20150317_000206	A Sentry's Report	A Sentry's Report
QUEST_20150317_000207	The guard posts have been reinforced in response to King Kadumel's forces' movements in the country. {nl}It's been confirmed that the king commands a large army. {nl}But if General Hayatin can muster enough volunteer soldiers, the incompetent king will likely surrender or retreat.	Raja Kardumel sambil mengontrol kerajaan, juga memperkuat penjagaan dari Post karena kondisi peperangan semakin kritis. Adalah benar Kardumel yang inkompeten memimpin banyak pasukan datang. Tetapi jika Jendral Hayatin memimpin pasukan bantuan datang, maka Kardumel akan menyerah atau melarikan diri.
QUEST_20150317_000208	A Trader's Log	A Trader's Log
QUEST_20150317_000209	The city is running out of food and supplies. {nl}(The rest is illegible.)	Makanan dan supply di kota hampir habis. (Sisanya tidak dapat dibaca)
QUEST_20150317_000210	Rumor has it that Ruklys has heard about the citizens' harsh conditions {nl}and is negotiating with Kadumel for their amnesty.	Ada rumor bahwa General Ruklys sedang bernegosiasi dengan King Kadumel demi keamanan penduduk.
QUEST_20150317_000211	An Officer's Record	An Officer's Record
QUEST_20150317_000212	Premier Eminent is in talks with Commander Ruklys. {nl}We may have to move to the Fortress of the Land and let the royal forces claim the city. {nl}It's good news for the civilians at least. Despite the town being conceded, the Fortress will not be taken as easily.	Perdana menteri Premier Eminenat, katanya telah menanggapi negosiasi dengan Jendral Ruklys. Sesuai dengan negosiasi, maka kami semua bergerak ke Earth Castle, terdengar kabar bahwaKota akan diserahkan kepada pasukan raja. Jika memikirkan penduduk biasa mungkin juga bisa menjadi sesuatu yang baik untuk mereka. Untuk kota mungkin dapat dimengerti, tetapi menyerahkan Earth Castle sepertinya tidak akan terjadi dengan mudah begitu saja.
QUEST_20150317_000213	King Kadumel is keen on persecuting the townspeople. {nl}The premier is pushing Commander Ruklys to negotiate terms ensuring that the civilians are safe from enemy forces. {nl}Despite the royal forces occupying the town, there has yet to be any threatening movement.	Raja Kardumel sedang bersikeras untuk menghukum warga penduduk kota. Perdana Menteri Eminent dengan mudah menghentikan hal itu, dan sesuai dengan isi negosiasi dengan Jendral Ruklys, bahwa ia berusaha untuk menjamin keamanan kota. Pasukan tentara raja yang menguasai kota pun, tidak melakukan tindakan apapun yang mengancam.
QUEST_20150317_000214	We should wait until Kostas gets here. {nl}We have a lot to do, so it'd be nice if he gets here soon.	Kita harus tetap di sini hingga Kostas datang. {nl}Banyak hal yang harus dilakukan, semoga saja mereka cepat datang ke sini.
QUEST_20150317_000215	Cryomancer Kostas	Cryomancer Kostas
QUEST_20150317_000216	Everything will be resolved when the Symbol of Silk is found. {nl}With it, we can revive the city.	Jika kita dapat menemukan Symbol of Silk, semua akan baik-baik saja. {nl}Kita dapat membangun kota kembali.
QUEST_20150317_000217	Graverobber Rudolfas	Graverobber Rudolpas
QUEST_20150317_000218	The Royal Army and the Knights of Kaliss... I think we've struck gold. {nl}No one's around here or calling this place home any more.	Pasukan Kerajaan dan Knights of Kaliss...Sepertinya, kita menemukan emas. {nl}Tidak ada seorang pun di sini..kita bisa menyebut daerah ini rumah.
QUEST_20150317_000219	A Royal Officer's Record	A Royal Officer's Record
QUEST_20150317_000220	There has been no progress since Ruklys' group retreated to the Fortress of the Land. {nl}The priests under Maven's direction are reluctant to fight, and the King is hiring mages by paying them a hefty sum. {nl}But we expect little to no progress at all even after their participation.	Grup Ruklys setelah mundur dari Earth Castle, berada dalam kondisi tidak ada pergerakan lebih jauh. Para priest yang mendapat pengaruh dari Myvern, bertindak pasif dalam peperangan, sehingga raja mengeluarkan uang banyak untuk merekrut para penyihir,  dan berusaha keras untuk mengubah posisi peperangan, tetapi terasa mereka tidak membawa kemajuan apapun dalam peperangan.
QUEST_20150317_000221	Townsperson's Document	Townsperson's Document
QUEST_20150317_000222	How could this happen?! {nl}Lydia Schaffen is aiding Kadumel's forces!	Bagaimana ini bisa terjadi! Lydia Schaffen akan membantu prajurit Kadumel.
QUEST_20150317_000223	Army Official's Report	Army Official's Report
QUEST_20150317_000224	Lydia Schaffen, a person I've only heard of in rumors, came to the city with her followers. {nl}The officers and soldiers expect she'll change the tide of the battle. {nl}}His Majesty ordered us to support her to the best of our ability.	Lydia Schaffen, nama yang sering aku dengar dalam rumor, datang ke kota bersama pengikutnya. Para petugas dan prajurit mengharapkan bahwa dia dapat merubah situasi pertempuran ini. Dia memerintahkan kita untuk membantu dengan segala kemampuan yang ada.
QUEST_20150317_000225	Citizen's Record	Citizen's Record
QUEST_20150317_000226	The Fortress of the Land has fallen! It's all over...	The Great Earth Fortress telah kalah! Sekarang semua sudah berakhir..
QUEST_20150317_000227	Commander Ruklys has fallen in battle, and the Fortress of the Land has been taken. {nl}Some people say the commander died to Lydia Schaffen's arrow, and others say he died to the royal magicians' magic. {nl}It is indeed sad news.	General Ruklys telah mati dan Great Earth Fortress hancur. Beberapa orang bilang dia mati terkena panah dari Lydia Schaffen's, yang lain bilang dia mati karena serangan magic dari royal magicians. Sudah bisa dipastikan dan itu berita yang menyedihkan.
QUEST_20150317_000228	To support the Knights of Kaliss, I was dispatched here from the head office. {nl}If you've any concerns, visit the headquarters in the Square of Lamentation.	Untuk membantu Knights of Kaliss, aku berpindah dari headquarters ke sini. {nl}Jika kamu punya pertanyaan, silahkan bertanya ke headquarters di Square of Lamentation.
QUEST_20150317_000229	The higher-ups in the Knights of Kaliss are spending a lot on this place. I'm not sure how to feel about that. {nl}To make matters worse, grave robbers are here, so we're just waiting for support.	Rasanya tidak enak berjaga di sini karena ada Knights of Kaliss. {nl}Dan juga, thieves berlarian di sekitar, jadi kita harus menunggu bantuan dari headquarters.
QUEST_20150317_000230	Up until now, I've only seen the cursed figures of the fallen. Now that I'm here, that's going to change.	Sampai sekarang, aku hanya melihat ada tanda kutukan yang menyelimuti mereka, namun semua akan berubah semenjak aku datang ke sini.
QUEST_20150317_000231	Will lifting this city's curse bring back the dead? {nl}I doubt it, but our lords have put great effort into retaking this area. {nl}They've done all they could for that purpose.	Akan mengangkat kutukan kota ini membawa kembali orang mati? {Nl} Aku ragu, tapi tuan kami telah melakukan upaya besar untuk merebut kembali daerah ini. {Nl} Mereka telah melakukan semua yang mereka bisa untuk tujuan itu.
QUEST_20150317_000232	Graverobber Stephonas	Graverobber Stephonas
QUEST_20150317_000233	We're different from those other grave-robbing hooligans. {nl}They've no pride or business sense! {nl}If you help us now, we'll return the favor someday soon.	Kami berbeda dengan grave-robbing hooligans lain.  {nl} Mereka tidak punya kebanggaan atau pun jiwa bisnis.  {nl}Jika kamu menolong kami, akan kami balas suatu hari nanti.
QUEST_20150317_000234	Royal Army Guard Rofdel	Royal Army Guard Rofdel
QUEST_20150317_000235	You can see all sorts of things happening from this watchtower even if it's as if time in the city has stopped. {nl}The dust usually gets in the way, but you can see all the way to Ruklys' paths when it rains.	Kamu dapat melihat seluruh kota dari atas tower, bahkan melihat kejadian yang sedang terjadi di kota seakan waktu telah berhenti {nl}Walaupun terhalang debu, kamu bisa melihat jalan menuju Ruklys ketika hujan.
QUEST_20150317_000236	We've worked for centuries to revive these ruins. {nl}With your help, we might be able to learn about that day and finally succeed.	Sudah ratusan tahun kami mencoba untuk memperbaiki reruntuhan ini. {nl}Jika kamu bisa membantu, kita dapat mencari tahu apa yang terjadi pada waktu itu dan menghidupkan kota ini lagi.
