ITEM_20150317_000001	Empty_helmet	없음_helmet	Empty_Helmet
ITEM_20150317_000205	Lends great power against beings who do not belong to the realms of night and day.	밤과 낮 어디에도 속하지 않는 존재들에게 강한 위력을 보입니다.	Sanga efektif untuk menyerang makhluk yang tidak memiliki siang dan malam.
ITEM_20150317_000206	Gravity	그래비티	Gravity
ITEM_20150317_000207	Gravity cannot be avoided by anyone or anything. But if one adapts to it, no one can underestimate its power.	당신이 누구든 어디에 있든 중력을 피하기는 어렵습니다. 그러나 중력에 적응한다면 그 효력은 누구도 무시할 수 없습니다.	Gravity tidak dapat dihindari, siapapun dirimu. Jika kamu sudah terbiasa, kekuatannya tidak dapat diremehkan..
ITEM_20150317_000208	Crude Short Rod	조악한 숏 로드	Crude Short Rod
ITEM_20150317_000209	Rod [Strike]	로드[타격]	Rod [Strike]
ITEM_20150317_000210	A rod that all students of magic will use.	마법을 배우는 자는 어떻게든 얻게 되는 장비입니다. 	Jika kamu belajar magic, kau tentu akan memilih ini.
ITEM_20150317_000211	Short Rod	숏 로드	Short Rod
ITEM_20150317_000212	Magicians that graduate from their apprenticeship often switch to this weapon.	마법사들이 입문기를 벗어나면 이런 장비로 교환합니다.	Ketika magicians telah lulus ujian, mereka akan mulai menggunakan senjata.
ITEM_20150317_000213	Low Long Rod	로우 롱 로드	Low Long Rod
ITEM_20150317_000214	The decorations found in a mage's equipment are added for function, not only for appearance.	마법사 장비에 더해지는 장식들은 단순한 치장 이상의 의미가 있습니다.	Hiasannya memiliki fungsi tertentu, dan bukan hanya untuk hiasan.
ITEM_20150317_000215	Low Cane Rover	로우 케인 로버	Low Cane Rover
ITEM_20150317_000216	When a rod is painstakingly carved by a famous wizard, it is bound to contain mystical power.	고명한 마법사가 정성들여 깎은 지팡이는 신비한 힘을 담기 마련입니다.	Rod ini telah digunakan oleh Wizard terkenal, ia memiliki magic power yang kuat.
ITEM_20150317_000217	Cane	케인	Cane
ITEM_20150317_000218	You can customize this rod further if you can supply the materials.	직접 깎지 않은 지팡이도 장식을 추가해 자신에게 맞추는 방법이 있다고 합니다.	banyak cara untuk memodifikasi rod mu, walau bukan kamu yang membuatnya.
ITEM_20150317_000219	Crook	크룩	Crook
ITEM_20150317_000220	Legends say that evil wizards were the first to start using this weapon.	전설에 따르면 처음에는 나쁜 심성의 마법사들이 사용했다고 합니다. 	Legenda mengatakan, wizard yang jahat telah menggunakan senjata ini.
ITEM_20150317_000221	Pewter Rod	퓨터 로드	Pewter Rod
ITEM_20150317_000222	It was once a popular weapon among ambitious young wizards.	한때 야심있는 젊은 마법사들 사이에서 유행했던 장비입니다.	Senjata yang populer diantara wizard yang ambisius.
ITEM_20150317_000223	Owl Rod	아울 로드	Owl Rod
ITEM_20150317_000224	The decoration is popular among experienced wizards.	경력있는 마법사들이 좋아하는 장식이 달려있습니다.	Desainya disukai oleh wizard yang berpengalaman.
ITEM_20150317_000225	Rune Rod	룬 로드	Rune Rod
ITEM_20150317_000226	A magical rune is used to amplify the power of this rod.	로드의 위력을 강화하기 위해 마법룬이 사용됩니다.	Telah menggunakan magic Rune untuk memperkuat rod.
ITEM_20150317_000227	Crystal Rod	크리스탈 로드	Crystal Rod
ITEM_20150317_000228	A precise fitting of the jewel to the shaft is required to craft this rod.	마력을 담을 보석과 지팡이의 정확한 결합이 요구되는 장비입니다. 	Ketelitian dibutuhkan saat membuat rod ini.
ITEM_20150317_000229	Crude Pewter Rod	조악한 퓨터 로드	Crude Pewter Rod
ITEM_20150317_000230	Crude Owl Rod	조악한 아울 로드	Crude Owl Rod
ITEM_20150317_000231	Soldier's Short Rod	병사의 숏 로드	Soldier's Short Rod
ITEM_20150317_000232	This rod was given to magicians who joined the army. Though the procedure has been abolished since the Great Plant Cataclysm, an abundant stock still remains.	이미 마법사인 사람들이 군에 지원하면 지급되던 장비입니다. 식물재앙후에 절차는 없어졌어도 수량은 많이 남았습니다.	Rod in diperuntukkan untuk magicians yang bergabung dalam pasukan. Bahan-bahannya terbuat dari sisa Great Catalysm.
ITEM_20150317_000233	Chieftain's Long Rod	촌장의 롱 로드	Chieftain's Long Rod
ITEM_20150317_000234	The shape of this rod was popular in the past. Although old-fashioned, the rod performs rather decently.	예전에 유행하던 형태입니다. 구식이지만 성능이 나쁘지는 않습니다.	Bentuknya sangat populer di masa lalu. Memiliki desain yang antik.
ITEM_20150317_000235	Curde Cane Rover	조악한 케인 로버	Curde Cane Rover
ITEM_20150317_000236	Battle Rod	배틀 로드	Battle Rod
ITEM_20150317_000237	Besides the assistance in casting magic, this rod was also designed for physical combat.	마법에 대한 보조외에 다른 전투용으로 쓰일 수 있도록 만들어진 장비입니다.	Tidak hanya untuk casting magic, rod ini juga dapat digunakan untuk physical combat.
ITEM_20150317_000238	Heavy Short Rod	헤비 숏 로드	Heavy Short Rod
ITEM_20150317_000239	Long Rod	롱 로드	Long Rod
ITEM_20150317_000240	Heavy Long Rod	헤비 롱 로드	Heavy Long Rod
ITEM_20150317_000241	Cane Rover	케인 로버	Cane Rover
ITEM_20150317_000242	Heavy Cane	헤비 케인	Heavy Cane
ITEM_20150317_000243	Heavy Crook	헤비 크룩	Heavy Crook
ITEM_20150317_000244	Heavy Pewter Rod	헤비 퓨터 로드	Heavy Pewter Rod
ITEM_20150317_000245	Dunkel Crook	던켈 크룩	Dunkel Crook
ITEM_20150317_000246	Dunkel Crystal Rod	던켈 크리스탈 로드	Dunkel Crystal Rod
ITEM_20150317_000247	Dunkel Long Rod	던켈 롱 로드	Dunkel Long Rod
ITEM_20150317_000248	Dunkel Cane Rover	던켈 케인 로버	Dunkel Cane Rover
ITEM_20150317_000249	Dunkel Cane	던켈 케인	Dunkel Cane
ITEM_20150317_000250	Dunkel Pewter Rod	던켈 퓨터 로드	Dunkel Pewter Rod
ITEM_20150317_000251	Snake Rod	스네이크 로드	Snake Rod
ITEM_20150317_000252	Alter Rod	알터 로드	Alter Rod
ITEM_20150317_000253	Nald Rod	날드 로드	Nald Rod
ITEM_20150317_000254	Elder Rod	엘더 로드	Elder Rod
ITEM_20150317_000255	Meteor Rod	미티어 로드	Meteor Rod
ITEM_20150317_000256	Ring Rod	링 로드	Ring Rod 
ITEM_20150317_000257	Servant Rod	서번트 로드	Servant Rod
ITEM_20150317_000258	Panto Rod	판토 로드	Panto Rod
ITEM_20150317_000259	Wizards have been discovering new facts from monsters emerging from the Great Plant Cataclysm and applying them to varying situations.	마법사들은 식물재앙 이후 출현한 몬스터에게서 새로운 사실들을 발견해 이용하곤 합니다.	Wiard banyak menemukan hal baru mengenai monster semenjak Great Plant Catalysm.
ITEM_20150317_000260	Ice Rod	아이스 로드	Ice Rod
ITEM_20150317_000261	Rumor says that every time the crafting recipe for this rod is sold, part of the money goes to the Cryomancer Master.	소문에 따르면 이 지팡이의 제작서가 팔릴 때마다 크리오맨서 마스터에게 돈이 지불된다고 합니다.	Rumor mengatakan setiap resep senjata ini terjual, sebagian uangnya diberikan kepada Master Cyromancer.
ITEM_20150317_000262	Fire Rod	파이어 로드	Fire Rod
ITEM_20150317_000263	Only the Pyromancer Master knows the method of infusing the power of the Goddess Gabija into these rods.	여기 속하는 모든 로드에 가비야 여신의 힘을 깃들게 하는 방법을 아는 사람은 파이로맨서 마스터뿐입니다.	Hanya Master Pyromancer yang mengetahui cara memasukkan keuatan Goddess Gabija kedalam rod.
ITEM_20150317_000264	Vasia Rod	바시아 로드	Vasia Rod
ITEM_20150317_000265	Although priests frown upon the manipulation of spirits during its manufacturing, wizards ignore this objection.	사제들은 마법사들이 이 제조작업에서 영혼을 다루는 일을 마땅치 않게 생각하지만, 마법사들은 신경 쓰지 않습니다.	Priest telah menggunakan spirits dalam proses pembuatan senjata ini.
ITEM_20150317_000266	Magic Rod	매직 로드	Magic Rod
ITEM_20150317_000267	A simple rod for enhancing magic, easily craftable by beginner mages.	초보 마법사도 쉽게 만들 수 있는 형태의 마법강화 로드입니다.	Rod sederhana yang memiliki kekuatan magic. Sangat mudah dibuat oleh Magician pemula.
ITEM_20150317_000268	Grynas Rod	그리나스 로드	Grynas Rod 
ITEM_20150317_000269	The increase in demons after the Great Plant Cataclysm increased the price of this already-expensive rod.	식물재앙후 늘어난 마족 탓에 이 로드의 수요가 커져 원래 고가인 가격이 더 높아졌습니다.	Jumlah demon yang meningkat semenjak Great Plant Catalysm membuat harga rod ini melonjak naik.
ITEM_20150317_000270	Cheminis Rod	케미니스 로드	Cheminis Rod 
ITEM_20150317_000271	Despite the similarity in the name with another weapon, this weapon has no direct relation to the Winterspoon family.	동명의 다른 장비와 달리 이것은 윈터스푼 가문과 직접 관련이 없습니다.	Walau memiliki kemiripan nama dengan senjata lain, Rod ini tidak ada hubungannya dengan winterspoon family.
ITEM_20150317_000272	Arch Rod	아크 로드	Arch Rod 
ITEM_20150317_000273	A weapon that fills the role of a stepping stone to advanced wizardry for aspiring wizards. Once the wizard achieves his objective for higher learning, this weapon is replaced by another.	더 높은 경지에 도달하고자 하는 마법사가 그 디딤돌로 자주 사용하는 장비입니다. 일단 높아진 지능으로 목적을 이루면 다른 장비를 사용하곤 합니다.	Rod yang digunakan wizard untuk batu pijakaan menaikkan kemampuanya, Saat mereka sudah memiliki Intelligence yang tinggi, Rod ini akan digantikan oleh rod lainnya.
ITEM_20150317_000274	Imperni Rod	임페르니 로드	Imperni Rod
ITEM_20150317_000275	It is popular among wizards who like to stand out.	개성을 추구하는 마법사들이 애용하는 장비입니다.	Rod yang popular dikalangan wizard jenius.
ITEM_20150317_000276	Aras' Long Rod	아라스의 롱 로드	Aras' Long Rod 
ITEM_20150317_000277	It is often given as a small gift amongst wizards thanks to its affordable price.	적절한 가격 덕분에 마법사들 사이에 간단한 선물로 자주 교환되는 물품 가운데 하나입니다.	Sering digunakan sebagai hadiah pemberian dikalangan wizard karena harganya yang murah.
ITEM_20150317_000278	Smith Rod	스미스 로드	Smith Rod
ITEM_20150317_000279	This equipment is certainly odd, regardless of who uses it.	이 장비의 의외성은 사용자에 영향을 받지 않습니다.	Siapapun yang menggunakan roid ini akan merasakan perbedaannya
ITEM_20150317_000280	Klavis Rod	클라비스 로드	Klavis Rod
ITEM_20150317_000281	You may be the first wizard in history to ever use this weapon.	당신이 이것을 사용하는 첫 역사적 인물이 되기를 바랍니다.	Aku berharap kamulah wizard yang pertama menggunakan rod ini dalam sejarah.
ITEM_20150317_000282	Dio Rod	디오 로드	Dio Rod
ITEM_20150317_000283	Thresh Rod	트레시 로드	Thresh Rod
ITEM_20150317_000284	Sestas Rod	세스타스 로드	Sestas Rod
ITEM_20150317_000285	Dratt Rod	드라트 로드	Dratt Rod 
ITEM_20150317_000286	Aston Rod	아스턴 로드	Aston Rod
ITEM_20150317_000287	Devi Rod	데비 로드	Devi Rod
ITEM_20150317_000288	Prima Rod	프리마 로드	Prima Rod
ITEM_20150317_000289	Temere	테메레	Temere
ITEM_20150317_000290	This rod's nickname is 'The Staff of Patience.' Legends say that Agailla Flurry, the greatest wizard in history, devised this rod to train her apprentices.	이 로드의 별칭은 인내의 지팡이입니다. 전설에 따르면 역사상 최고의 마법사인 아가일라 플러리가 제자들을 지도하기 위해 고안했다고 합니다. 	Mendapat julukkan 'The Rod of Patience'. Legenda mengatakan Agailla Flurry,Wizard terhebat sepanjang sejarah,menggunakan rod ini untuk mengajari muridnya.
ITEM_20150317_000291	Ignition	이그니션	Ignition
ITEM_20150317_000292	Though the Pyromancer Master has been researching a way to mitigate the unstable drawbacks of this staff, there have been no development so far.	파이로맨서 마스터는 이 지팡이의 상충되는 부분을 완화하고자 노력중이지만, 아직 진전은 없다고 합니다.	Master Pyromancer berusaha mencari cara mengurangi ketidak stabilan kekuatan rod ini. Tapi belum ada berita kalau dia berhasil.
ITEM_20150317_000293	Secretum	세크레툼	Secretum
ITEM_20150317_000294	A weapon made for and only for wizards. Thus, wizards usually ignore the flaws of this staff.	마법사를 위한 마법사만의 장비입니다. 따라서 마법사들은 이 지팡이의 단점은 보통 무시합니다.	Rod yang hanya dapat digunakan oleh Wizard. Wizard sejati tidak peduli akan kekurangan senjata ini.
ITEM_20150317_000295	Deathweaver Rod	데스위버 로드	Deathweaver Rod
ITEM_20150317_000296	A rod containing the power of the Deathweaver.	데스위버의 힘이 담긴 장비입니다.	Rod yang memiliki kekuatan Deathweaver.
ITEM_20150317_000297	Chapparition Rod	채퍼리션 로드	Chappartion Rod
ITEM_20150317_000298	Zaima	자이마	Zaima
ITEM_20150317_000299	Rumors say that the high price of this rod's recipe is due to the Cryomancer Master's insistence.	이 로드의 제작서 가격이 비싼 이유는 크리오맨서 마스터의 강력한 요구에 따른 것이라고 합니다.	Harga resep rod ini mahal karena dibuat oleh Master Cryomancer.
ITEM_20150317_000300	Epos	에포스	Epos
ITEM_20150317_000301	A rod that was crafted long time ago using the best available magic knowledge at the time. As a result it is impossible to add to the rod, even with the current advancements in magic.	오래 전 당시 최고의 마법학이 동원되어 만들어진 지팡이입니다. 따라서 이 장비에 뭔가를 더하는 일은 현재 기술로도 불가능합니다. 	Rod yang telah dibuat sejak bertahun-tahun lalu dengan magic yang berkembang pada saat itu. Tidak dapat ditambahkan sesuatu walau dengan kekuatan magic yang sudah berkembang saat ini.
ITEM_20150317_000302	Twinkle Rod	반짝 로드	Twinkle Rod
ITEM_20150317_000303	A twinkling star is always visible.	언제나 빛나는 별을 볼 수 있습니다.	Kau akan selalu melihat bintang yang berkelip darinya.
ITEM_20150317_000304	Empty_weapon_THBow	없음_weapon_THBow	Empty_weapon_THBow
ITEM_20150317_000305	Crude Light Bow	조악한 라이트 보우	Crude Light Bow
ITEM_20150317_000306	Bow [Pierce]	활[찌르기]	Bow [Pierce] 
ITEM_20150317_000307	A simple weapon that can even be crafted at home.	가내에서도 만들 수 있는 가장 간단한 활입니다.	Mudah dibuat di rumah.
ITEM_20150317_000308	Light Bow	라이트 보우	Light Bow
ITEM_20150317_000309	A bow widely crafted and used by people across the kingdom and its territories.	귀족령 및 여러 곳에서 많은 사람들이 제조하여 사용합니다.	Dibuat oleh seseorang yang mengarungi penjuru wilayah.
